100_001|Главная|Hauptseite
124_050|Стробоскопический тахометр|Stroboskopischer Drehzahlmesser
124_051|Пример. Двухдисковая пила|Beispiel. Doppelscheibensäge
124_052|При резании дисковой пилой тонкостенного материала возникает ряд проблем. Материал изгибается, деформируется. Возникает вибрация, которая снижает качество резания. Необходимо получить в оперативной зоне свойство удержания разрезаемого материала и устранения вибраций.|Beim Schneiden eines dünnwandigen Materials mit einer Kreissäge treten eine Reihe von Problemen auf. Das Material verbiegt sich und verformt sich. Es treten Vibrationen auf, die die Schnittqualität verringern. Es ist erforderlich, die Eigenschaft zu erhalten, das zu schneidende Material zu halten und Vibrationen in der Betriebszone zu beseitigen.
124_053|Если мы посмотрим линии развития, то подходящей может оказаться линия «Моно-би-поли», один из шагов которой предусматривает переход к би-системе. То есть, можно использовать принцип ножниц: применить два диска, вращающихся в противоположных направлениях. Это значительно повышает качество резания и производительность инструмента. |Wenn wir uns die Entwicklungslinien ansehen, könnte sich die Mono-Bi-Poly-Linie als geeignet herausstellen. Einer der Schritte ist der Übergang zum Bi-System. Das heißt, Sie können das Prinzip der Schere anwenden: Zwei Scheiben in entgegengesetzte Richtungen drehen Dies verbessert die Schnittqualität und Produktivität des Werkzeugs erheblich. 
124_054|Двухдисковая циркулярная пила|Doppelscheiben-Kreissäge
124_056|О работе с ТРИЗ-тренером|Über die Arbeit mit dem TRIZ-Trainer
124_057|На входе этого шага мы имеем одну или несколько выдвинутых гипотез устранения конфликта. На выходе мы должны получить модель задачи, максимально близкую к этой гипотезе.|Bei der Eingabe dieses Schritts haben wir eine oder mehrere erweiterte Hypothesen zur Lösung des Konflikts. Bei der Ausgabe sollten wir ein Modell des Problems erhalten, das dieser Hypothese so nahe wie möglich kommt.
124_058|Это можно добиться, если при выдвижении гипотезы нужно внимательно посмотреть, к какому типу модели задачи она ближе всего, и формулировать задачу сразу в виде ее модели.|Dies kann erreicht werden, wenn Sie beim Vorbringen einer Hypothese sorgfältig prüfen müssen, welcher Art von Modell des Problems am nächsten ist, und die Aufgabe sofort in Form ihres Modells formulieren.
124_060|Сквозной пример. Коробка для пиццы|Komplexes Beispiel. Die Pizza-Box
124_061|Модель задачи:|Aufgabenmodell:
124_062|Представлена следующей вепольной моделью:|Wird durch das folgende Wild-Field-Modell dargestellt:
124_063|Ответ на вопрос, как преобразовать эту модель, можно найти в 76 стандартных решениях задач. Поскольку мы имеем и вредное взаимодействие между ними, подходящим будет стандарт 1.2.1.  Он гласит: «Если между двумя веществами в веполе возникают сопряженные - полезное и вредное - действия (причем непосредственное соприкосновение веществ сохранять необязательно), задачу решают введением между веществами постороннего третьего вещества, дарового или достаточно дешевого».|Die Antwort auf die Frage, wie dieses Modell transformiert werden kann, findet sich in 76 Standardlösungen für Probleme. Da wir auch eine schädliche Wechselwirkung zwischen ihnen haben, ist Standard 1.2.1 angemessen. Er lautet: „Wenn zwischen zwei Substanzen in einem Lauffeuer konjugiert - nützliche und schädliche - Maßnahmen (es ist nicht notwendig, den direkten Kontakt von Substanzen zu bewahren), das Problem wird gelöst, indem zwischen die Substanzen eine fremde dritte Substanz eingeführt wird, die frei oder billig genug ist.“
124_064|То есть, между пиццей и коробкой нужно ввести вещество В3, которое бы устраняло вредное действие коробки на пиццу, сохраняя полезное. Это может лист пергаментной бумаги или что-то подобное.|Das heißt, die Substanz B3 muss zwischen der Pizza und der Schachtel eingefügt werden, um die schädlichen Auswirkungen der Schachtel auf die Pizza zu beseitigen und gleichzeitig die Gesundheit zu erhalten. Es kann ein Blatt Pergamentpapier oder ähnliches sein.
125_001|Преобразование модели Действие в оперативной зоне|Modellaktion im Betriebsbereich transformieren
125_002|Итак, мы понимаем, какое новое качество нам нужно получить в оперативной зоне, и видим, что здесь выполняется определенное действие. Действие имеет недостатки, которые нужно устранить. По сути дела, мы должны взглянуть на ситуацию в оперативной зоне с точки зрения выполняемых там действий.|Wir verstehen also, welche neue Qualität wir im operativen Bereich brauchen, und wir sehen, dass hier eine bestimmte Maßnahme durchgeführt wird. Die Maßnahme hat Nachteile, die angegangen werden müssen. Tatsächlich sollten wir die Situation im operativen Bereich aus der Sicht betrachten Ansicht der dort ausgeführten Aktionen. 
125_003|Рассмотрим, как преобразовать модель задачи, выстроенную, как действие в оперативной зоне. Чтобы это сделать, прежде всего нужно понимать тип задачи. Как мы помним, для модели «действие» было выделено пять проблемных вариантов взаимодействия инструмента и обрабатываемого объекта:|Überlegen Sie, wie Sie ein als Aktion im Betriebsbereich erstelltes Aufgabenmodell transformieren. Dazu müssen Sie zunächst den Aufgabentyp verstehen. Wie wir uns erinnern, wurden fünf problematische Optionen für die Interaktion des Werkzeugs mit dem verarbeiteten Objekt identifiziert: 
125_004|1. Нет инструмента для выполнения полезного действия.|1. Es gibt kein Werkzeug, um eine nützliche Aktion auszuführen.
125_005|2. Недостаточное полезное действие.|2. Nicht genug nützliche Aktion.
125_006|3. Избыточное полезное действие.|3. Übermäßige nützliche Aktion.
125_007|4. Вредное действие, сопровождающее полезное.|4. Die schädliche Wirkung, die das Nützliche begleitet.
125_008|5. Чрезмерная стоимость инструмента.|5. Übermäßiger Werkzeugwert.
125_009|Прежде всего, мы можем улучшить эти варианты взаимодействия, если попытаемся прямо ответить на вопрос как устранить вредное взаимодействие определенного типа. Варианты негативных взаимодействий сформулированы достаточно четко, можно попытаться улучшить их выполнение, просто подумав.|Erstens können wir diese Interaktionsoptionen verbessern, wenn wir versuchen, die Frage, wie schädliche Interaktionen eines bestimmten Typs beseitigt werden können, direkt zu beantworten. Die Optionen für negative Interaktionen sind ziemlich klar formuliert. Sie können versuchen, ihre Leistung zu verbessern, indem Sie nur nachdenken.
125_010|Часто бывает очевидно, как усилить недостаточное полезное действие или ослабить избыточное. Как быть, если возникает вредное действие, сопровождающее полезное, например, обратное вредное действие от обрабатываемого объекта на инструмент? Как устранить иное вредное действие? Что делать, если для выполнения действия применяется дорогой и сложный инструмент?|Es ist oft offensichtlich, wie ein unzureichender oder ein übermäßiger nützlicher Effekt verstärkt oder abgeschwächt werden kann. Was kann ich tun, wenn ein schädlicher Effekt auftritt, der mit einem nützlichen, z. B. umgekehrten schädlichen Effekt des bearbeiteten Objekts auf das Werkzeug einhergeht? Wie kann ein anderer schädlicher Effekt beseitigt werden? Was, wenn ein teures und raffiniertes Werkzeug?
125_011|Конечно же, возможностью сразу решать задачу можно и нужно воспользоваться. Если же сразу найти решение не получается, можно рассмотреть инструменты, содержащиеся в ТРИЗ. Существенную помощь здесь могут оказать стандартные решения задач классов 1, 2, 3 и 4, в которых идет речь о достройке веполя и развитии вепольных моделей. Применение стандартов в данной модели задачи отличается от их использования в модели «Обстоятельства в оперативной зоне». Отличие состоит в том, что здесь мы рассматриваем ситуацию в оперативной зоне, прежде всего, с точки зрения выполняемых там действий. Компоненты, выполняющие эти действия, подразумеваются.|Natürlich können und müssen Sie die Gelegenheit nutzen, das Problem sofort zu lösen. Wenn Sie nicht sofort eine Lösung finden, können Sie die in TRIZ enthaltenen Werkzeuge in Betracht ziehen. Standardlösungen für Probleme der Klassen 1, 2, 3 und 4 können hier Abhilfe schaffen Es geht hier um die Vervollständigung des Sufield-Feldes und die Entwicklung von SuField-Modellen. Die Anwendung von Standards in diesem Modell des Problems unterscheidet sich von ihrer Verwendung im Modell „Umstände in der Betriebszone“. Der Unterschied besteht darin, dass wir hier zunächst die Situation in der Betriebszone betrachten. Die Komponenten, die diese Aktionen ausführen, sind impliziert. 
125_012|Ситуации, возникающие при решении изобретательских задач очень разнообразны, поэтому подсказку при решении задачи может дать любой стандарт. Но мы хотим выделить несколько стандартных решений, подходящих для типовых вариантов взаимодействия инструмента и обрабатываемого объекта.|Die Situationen, die bei der Lösung von Erfindungsproblemen auftreten, sind sehr unterschiedlich, sodass jede Norm einen Hinweis zur Lösung eines Problems geben kann. Wir möchten jedoch einige Standardlösungen hervorheben, die für typische Arten der Interaktion zwischen einem Werkzeug und einem bearbeiteten Objekt geeignet sind.
125_014|Сквозной пример. Коробка для пиццы|Komplexes Beispiel. Die Pizza-Box
125_015|Модель задачи:|Aufgabenmodell:
125_016|Представлена следующей вепольной моделью:|Wird durch das folgende Wild-Field-Modell dargestellt:
125_017|Механическое поле|Mechanisches Feld
125_018|Коробка|Box
125_019|Пицца|Pizza
125_022|По сути дела, здесь мы имеем вариант недостатка «Вредное действие, сопровождающее полезное.». Преобразовать эту модель можно с помощью 76 стандартных решений задач. Поскольку мы имеем и вредное взаимодействие между двумя веществами, подходящим будет стандарт 1.2.1.  Он гласит: «Если между двумя веществами в веполе возникают сопряженные - полезное и вредное - действия (причем непосредственное соприкосновение веществ сохранять необязательно), задачу решают введением между веществами постороннего третьего вещества, дарового или достаточно дешевого».|Tatsächlich haben wir hier die Fehleroption „Schädliche Handlung, die mit dem Nutzen einhergeht“. Dieses Modell kann mit 76 Standardlösungen für Probleme transformiert werden. Da es auch eine schädliche Wechselwirkung zwischen den beiden Substanzen gibt, ist Standard 1.2.1 geeignet. Es heißt dort: „Wenn konjugierte - nützliche und schädliche - Wirkungen zwischen zwei Substanzen in einem Lauffeuer auftreten (und es nicht erforderlich ist, den direkten Kontakt der Substanzen aufrechtzuerhalten), wird das Problem gelöst, indem zwischen die Substanzen eine externe dritte Substanz eingeführt wird, die frei oder ausreichend ist auf die billige Tour.“
125_024|То есть, между пиццей и коробкой нужно ввести вещество В3, которое бы устраняло вредное действие коробки на пиццу, сохраняя полезное. Это может лист пергаментной бумаги или что-то подобное.|Das heißt, die Substanz B3 muss zwischen der Pizza und der Schachtel eingefügt werden, um die schädlichen Auswirkungen der Schachtel auf die Pizza zu beseitigen und gleichzeitig die Gesundheit zu erhalten. Es kann ein Blatt Pergamentpapier oder ähnliches sein.
125_025|Разделитель (лист бумаги)|Trennzeichen (Zettel)
126_001|Нет инструмента для выполнения полезного действия|Es gibt kein Werkzeug, um eine nützliche Aktion auszuführen
126_002|Как правило, при решении задачи уже понятно, каким образом выполнить действие, диктуемое её условиям – это уже понятно по устройству улучшаемой системы. Чтобы решить такую задачу, нужно ввести в оперативную зону инструмент, который может воздействовать на обрабатываемый объект для получения нужного продукта. Это можно сделать самым простым путем – найти такой подобную функцию, которая выполняется похожим образом, и по аналогии использовать инструмент в своей системе. Для этого можно применить такой метод, как функционально-ориентированный поиск.|In der Regel ist bei der Lösung eines Problems bereits klar, wie die durch die Bedingungen vorgegebene Aktion ausgeführt werden soll. Dies wird bereits durch das Gerät des zu verbessernden Systems deutlich. Um ein solches Problem zu lösen, müssen Sie in den Betriebsbereich ein Werkzeug eingeben, das auf das bearbeitete Objekt einwirken kann, um es zu erhalten Sie können dies auf einfachste Weise tun - finden Sie eine ähnliche Funktion, die auf ähnliche Weise ausgeführt wird, und verwenden Sie analog dazu das Tool in Ihrem System. Verwenden Sie dazu eine Methode wie die Funktionsorientierung ovanny suchen.
126_003|Например, если по ходу задачи требуется охладить обрабатываемый объект, можно применить различные типы охладителей. Простой поиск по интернету показывает, что это можно сделать при помощи таких охладителей, как: холодный объект (лёд), струя холодного газа или жидкости, теплообменник испарительного холодильника, звуковой холодильник, вакуумный охладитель и т.п.  Огромное количество инструментов можно применить, чтобы нагреть объект, остановить его, раздробить на части, соединить два объекта и т.п.  Когда мы понимаем, что должны найти, поиск проводить легко и эффективно.|Wenn Sie beispielsweise das bearbeitete Objekt während der Aufgabe kühlen müssen, können Sie verschiedene Arten von Kühlern verwenden. Eine einfache Suche im Internet zeigt, dass dies mit Kühlern wie einem kalten Objekt (Eis), einem Strom aus kaltem Gas oder Flüssigkeit möglich ist. Verdampferkühler Wärmetauscher, Schallkühler, Vakuumkühler usw. Mit einer großen Anzahl von Werkzeugen kann ein Objekt erhitzt, angehalten, in Stücke zerbrochen, zwei Objekte verbunden werden usw. Wenn wir verstehen, was wir finden müssen, p Die Suche ist einfach und effizient. 
126_004|Однако бывает так, что непонятно, какой именно инструмент следует применить в оперативной зоне. При поиске инструмента можно применить стандартные решения задач, в частности группу стандартов 1.1 «Синтез веполей».  |Es kommt jedoch vor, dass nicht klar ist, welches Werkzeug in der operativen Zone verwendet werden soll. Bei der Suche nach einem Werkzeug können Sie Standardlösungen auf Probleme anwenden, insbesondere auf die Normengruppe 1.1 „SuField-Analyse“.
126_005|Пример достройки веполя|Beispiel für die Fertigstellung des SuField-Modells
126_006|Необходимо отполировать тонкостенную металлическую трубку. Проблема заключается в том, что стенки трубки настолько тонкие, что полировальник сминает их. Качество полировки ухудшается.|Es ist notwendig, ein dünnwandiges Metallrohr zu polieren. Das Problem ist, dass die Wände des Rohrs so dünn sind, dass der Polierer sie zerdrückt. Die Polierqualität verschlechtert sich.
126_007|Здесь можно построить следующий веполь: В1 – это инструмент, В2 – полировальник обрабатываемый объект, тонкостенная трубка. Полировальник недостаточно эффективно воздействует на стенку трубки.|Hier kann der folgende Eber gebaut werden: B1 ist ein Werkzeug, B2 ist ein Polierkissen, ein bearbeiteter Gegenstand, ein dünnwandiges Rohr. Ein Polierkissen beeinflusst die Rohrwand nicht effektiv.
126_008|Согласно стандарту 1.1.2. «Переход к внутреннему комплексному веполю», добавляем к веществу В2 вещество В3. Это может быть какой-то наполнитель, что-то вроде воска или легкоплавкого металла.|Gemäß der Norm 1.1.2. „Übergang zu einem internen komplexen Mehr-Stoff-System“ Stoff B3 zu Stoff B2 hinzufügen. Es kann sich um eine Art Füllstoff handeln, beispielsweise Wachs oder niedrigschmelzendes Metall.
126_009|Преобразование вепольной модели взаимодействия тонкостенной трубки и полировальника|Transformation des SuField-Modells der Wechselwirkung von dünnwandigem Rohr und Polierer
126_011|Если же определить искомый инструмент не получается, то центр тяжести работы по его определению переносится на следующий шаг – поиск необходимого ресурса. Мы рассуждаем следующим образом: роль ресурса может выполнять некий неизвестный Х-компонент, который нам предстоит найти. Здесь следует понимать, что инструмент - это не вещь в себе, не какой-то «неопознанный объект», он имеет более сложную структуру.  В этом случае можно и нужно построить модель технической системы, частью которой этот инструмент является. Это даст нам возможность понять, каким образом устроена система. Что является источником энергии, как она преобразуется в вид, применяемый в рабочем органе, через какую трансмиссию энергия передается, и как управляется действие частей системы.|Wenn das gewünschte Werkzeug nicht bestimmt werden kann, wird der Schwerpunkt der zu bestimmenden Arbeit auf den nächsten Schritt übertragen - die Suche nach der erforderlichen Ressource. Wir haben folgenden Grund: Eine bestimmte unbekannte X-Komponente, die wir finden müssen, kann die Rolle der Ressource spielen. Hier Um zu verstehen, dass ein Werkzeug keine Sache für sich ist, kein „nicht identifiziertes Objekt“, hat es eine komplexere Struktur. In diesem Fall können und sollten Sie ein Modell des technischen Systems erstellen, zu dem dieses Werkzeug gehört. Dies gibt uns die Möglichkeit verstehen, wie das System funktioniert. Was ist die Energiequelle, wie wird sie in die im Arbeitskörper verwendete Form umgewandelt, durch die Übertragungsenergie übertragen wird und wie wird die Wirkung von Teilen des Systems gesteuert. 
126_012|Анализ этой системы даст нам возможность поиска нужного ресурса на следующем шаге, поскольку мы будем, как минимум, знать, какую роль в системе выполняет искомый ресурс и как он должен работать.|Die Analyse dieses Systems gibt uns die Möglichkeit, im nächsten Schritt nach der gewünschten Ressource zu suchen, da wir zumindest wissen, welche Rolle die gewünschte Ressource im System spielt und wie sie funktionieren sollte.
126_013|При поиске инструмента не обязательно вводить новый компонент в оперативную зону извне. Для этого можно использовать и компоненты, уже присутствующие в системе. Вообще при преобразовании существующих компонентов и поиске новых удобно использовать линии развития систем, прежде всего линию «Дробление».|Bei der Suche nach einem Werkzeug ist es nicht erforderlich, eine neue Komponente von außen in den Arbeitsbereich einzuführen. Hierzu können Sie bereits im System vorhandene Komponenten verwenden. Im Allgemeinen ist es bei der Konvertierung vorhandener und der Suche nach neuen Komponenten zweckmäßig, die Entwicklungslinien von Systemen zu verwenden, insbesondere die Linie „Crushing“. 
127_001|Недостаточное полезное действие|Unzureichende nützliche Aktion
127_002|Если действие слишком слабое или вообще отсутствует, необходимо его усилить до приемлемого значения. Это можно сделать путем улучшения работы компонентов инструмента, а также введением в его состав дополнительных компонентов.|Wenn die Aktion zu schwach ist oder überhaupt nicht vorhanden ist, muss sie auf einen akzeptablen Wert verstärkt werden. Dies kann durch Verbesserung der Funktionsweise der Werkzeugkomponenten sowie durch Einfügen zusätzlicher Komponenten in ihre Zusammensetzung erreicht werden.
127_003|Для усиления действия можно применить стандарт 1.1.7 «Максимальный режим действия на вещество». Стандарт предписывает следующее. Если нужно обеспечить максимальный режим действия на вещество, а это по тем или иным причинам недопустимо, максимальное действие следует сохранить, но направить его на другое вещество, связанное с первым.   Кроме этого, можно усилить действие инструмента, следуя рекомендациям стандартов класса 2.1 «Форсирование веполей».|Um die Wirkung zu verbessern, können Sie die Norm 1.1.7 „Maximale Wirkungsweise auf einen Stoff“ anwenden. Die Norm schreibt Folgendes vor: Wenn Sie eine maximale Wirkungsweise auf einen Stoff sicherstellen möchten und dies aus dem einen oder anderen Grund nicht akzeptabel ist, sollte die maximale Wirkung beibehalten, aber gesteuert werden Darüber hinaus können Sie die Wirkung des Werkzeugs verbessern, indem Sie die Empfehlungen der Normen der Klasse 2.1 „Zwingen des Wildschweins“ befolgen. 
127_004|Пример|Beispiel
127_005|При изготовлении предварительно напряженного железобетона нужно растянуть стальную арматуру. Это просто сделать – нужно нагреть стержни арматуры, чтобы они удлинились, и закрепить в нагретом виде. Однако стержни нельзя нагревать до высокой температуры, поскольку они теряют свои свойства. Слабый нагрев не дает нужного напряжения арматуры.|Bei der Herstellung von vorgespanntem Stahlbeton müssen Sie die Stahlbewehrung dehnen. Dazu müssen Sie nur die Bewehrungsstäbe erwärmen, um sie länglich zu machen und sie in einer erwärmten Form zu fixieren. Die Stäbe können jedoch nicht auf eine hohe Temperatur erwärmt werden, da sie ihre Eigenschaften verlieren. Eine schwache Erwärmung tut dies nicht gibt die richtigen Spannungsanschlüsse. 
127_006|Чтобы усилить полезное действие, нагревают жаропрочный стержень. Затем арматуру прикрепляют к стержню. Охлаждаясь, стержень укорачивается и растягивает проволоку, оставшуюся холодной.|Um die wohltuende Wirkung zu verstärken, erhitzen Sie die hitzebeständige Stange. Anschließend wird die Verstärkung an der Stange angebracht. Beim Abkühlen wird die Stange gekürzt und der Draht wird kalt gelassen.
127_007|Бетонная плита|Betonplatte
127_008|Укорачивающийся нагретый стержень|Hot Rod verkürzen
127_009|Растягиваемая арматура|Zugbewehrung
127_010|Растягивание арматуры остывающим стержнем|Dehnen der Verstärkung mit einem Kühlstab
127_012|Еще один стандарт 1.1.8.2. Избирательно-максимальный режим|Ein weiterer Standard 1.1.8.2. Selektiver Maximalmodus
127_013|Используют слабое поле, но в месте, где необходимо максимальное воздействие, вводят вещество, дающее локальное поле, например, термитные составы - для теплового воздействия, взрывные составы - для механического воздействия.|Verwenden Sie ein schwaches Feld, aber an einem Ort, an dem eine maximale Exposition erforderlich ist, wird eine Substanz eingeführt, die ein lokales Feld ergibt, z. B. Termitenzusammensetzungen zur thermischen Exposition, explosive Zusammensetzungen zur mechanischen Exposition.
127_014|Кроме указанных преобразований для повышения эффективности действия могут применяться все стандарты из группы 2.2 «Формирование веполей». Эти стандарты предусматривают переход к более управляемым полям, дробление и динамизацию инструмента, структуризацию поля или вещества и т.п.|Zusätzlich zu den angegebenen Transformationen können alle Standards aus Gruppe 2.2 „Bildung von SuField-Modellen“ angewendet werden, um die Wirksamkeit der Wirkung zu erhöhen. Diese Standards sehen den Übergang zu stärker kontrollierten Feldern, die Zerkleinerung und Dynamisierung des Werkzeugs, die Strukturierung des Feldes oder der Substanz usw. vor.
127_015|Усилить действие инструмента можно и другими способами.|Es gibt andere Möglichkeiten, die Aktion des Tools zu verbessern.
127_016|Можно сделать действие непостоянным, применить вибрацию. Переход от постоянного действия к периодическому позволяет резко усилить пиковые нагрузки и в отдельных случаях значительно усиливает воздействие инструмента на обрабатываемый объект. Дополнительно усилить действие можно, если согласовать частоты действия инструмента и обрабатываемого объекта, использовать резонанс.|Sie können die Aktion instabil machen, Vibration anwenden. Der Übergang von kontinuierlich zu periodisch ermöglicht es Ihnen, Spitzenlasten stark zu erhöhen und in einigen Fällen die Auswirkung des Werkzeugs auf das bearbeitete Objekt erheblich zu verbessern. Außerdem können Sie die Aktion verstärken, wenn Sie die Häufigkeit der Aktion des Werkzeugs und des bearbeiteten Objekts koordinieren Resonanz. 
127_017|Пример|Beispiel
127_018|Мы используем резонанс, когда пытаемся вытащить застрявшую на дороге машину. Вспомните, ведь легче всего достичь результат тогда, когда толкаешь машину в момент ее движения вперед. Этот пример резонанса усиливает амплитуду движения, тем самым помогая вытащить машину.|Wir verwenden Resonanz, wenn wir versuchen, ein auf der Straße festgefahrenes Auto herauszuholen. Denken Sie daran, dass es am einfachsten ist, das Ergebnis zu erzielen, wenn Sie das Auto vorwärts schieben. Dieses Resonanzbeispiel erhöht die Bewegungsamplitude und hilft so, das Auto herauszuziehen.
127_019|Пример. Резонансный тахометр|Beispiel. Resonanzdrehzahlmesser
127_020|По принципу резонанса устроен и работает простой тахометр, который включает корпус с металлической пластинкой (рис.2). Одним концом пластинка закреплена в корпусе, другой ее конец – свободен. Длина свободного конца пластинки может меняться, соответственно меняется и собственная частота ее колебаний: чем короче пластинка, тем выше резонансная частота. Корпус тахометра прикладывается к подшипнику вращающегося вала, пластинка передвигается до тех пор, пока не начнет интенсивно колебаться. Это значит, что частота вынужденных колебаний пластинки равна ее собственной частоте.  Это и будет искомая частота вращения вала.|Durch das Prinzip der Resonanz wird ein einfacher Drehzahlmesser konstruiert und betrieben, der ein Gehäuse mit einer Metallplatte enthält (Abb. 2). Ein Ende der Platte ist in dem Gehäuse befestigt, das andere Ende ist frei. Die Länge des freien Endes der Platte kann variieren, und die Eigenfrequenz ändert sich ebenfalls seine Schwingungen: Je kürzer die Platte ist, desto höher ist die Resonanzfrequenz. Wenn das Tachometergehäuse auf das Lager der rotierenden Welle aufgebracht ist, bewegt sich die Platte, bis sie anfängt, intensiv zu schwingen. Dies bedeutet, dass die Frequenz der erzwungenen Schwingungen lastinki gleich seine Eigenfrequenz. Dies ist die erforderliche Wellengeschwindigkeit.
127_021|Шарик|Ball
127_022|Корпус|Enclosure
127_023|Резонанасная пластинка с изменяемой длиной|Variable Length Resonance Plate
127_024|Резонансный тахометр|Resonance Tachometer
127_026|Не следует забывать и о паузах действия. Действие никогда не происходит непрерывно, всегда есть моменты, когда основное действие отключено. Именно эти моменты и следует использовать для того, чтобы применить другое, усиливающее действие, однотипное с основным или какое-то другое.|Sie sollten die Pausen der Aktion nicht vergessen. Die Aktion findet niemals ununterbrochen statt, es gibt immer Momente, in denen die Hauptaktion ausgeschaltet wird. Diese Momente sollten verwendet werden, um eine andere, verstärkende Aktion anzuwenden, die der Hauptaktion oder einer anderen Aktion entspricht andere. 
127_027|Пример. Вертолёты серии Kaman|Beispiel. Kaman Series Helicopters
127_028|Винты вертолета обычно располагаются на расстоянии друг от друга – либо один над другим, либо разнесены по горизонтали. Это усложняет конструкцию вертолета и снижает его маневренность.|Die Rotoren des Hubschraubers befinden sich normalerweise in einem Abstand voneinander - entweder übereinander oder in horizontalem Abstand. Dies erschwert die Konstruktion des Hubschraubers und verringert seine Manövrierfähigkeit.
127_029|Вертолеты серии Kaman имеют два винта с пересекающимися дисками вращения лопастей. Чтобы лопасти не сталкивались, их вращение синхронизировано через редуктор, а каждая лопасть проходит над соседним диском в паузах действия, кода соседняя лопасть ей не мешает.|Die Hubschrauber der Kaman-Serie haben zwei Schrauben mit sich kreuzenden Rotationsscheiben der Blätter. Um eine Kollision der Blätter zu verhindern, wird ihre Rotation über das Getriebe synchronisiert, und jedes Blatt bewegt sich in Pausen über die benachbarte Scheibe. Der Code beeinträchtigt nicht das benachbarte Blatt.
127_030|Синхроптер Kaman K-MAX|Synchronizer Kaman K-MAX
127_031|Для усиления действия можно поработать с самим действием инструмента. Здесь всё зависит от условия задачи. Действие можно сфокусировать, если нужно сильное воздействие на обрабатываемый объект в его и определенном месте. Если нам важнее воздействовать на большую площадь, можно распределить действие. Кроме того, можно сделать инструмент неоднородным, чтобы усилить действие в нужной его части.|Um die Aktion zu verbessern, können Sie mit der Aktion des Werkzeugs selbst arbeiten. Alles hängt von den Aufgabenbedingungen ab. Die Aktion kann konzentriert werden, wenn Sie einen starken Einfluss auf das bearbeitete Objekt an seiner spezifischen Stelle benötigen. Wenn es für uns wichtiger ist, auf einer großen Fläche zu arbeiten, können Sie die Aktion verteilen. Außerdem können Sie das Werkzeug heterogen machen, um die Aktion im gewünschten Teil zu verbessern. 
127_032|Пример|Beispiel
127_033|Краскораспылитель работает с высокой производительностью, но точность нанесения краски оставляет желать лучшего. Краска разлетается за пределы окрашиваемого пятна. Чтобы противостоять этому, сопло краскораспылителя окружают дополнительным соплом в виде кольца, по которому подается чистый воздух. При работе такого распылителя конус чистого воздуха окружает конус краски, и неконтролируемый разлет краски исключается.|Die Sprühpistole arbeitet mit hoher Leistung, aber die Genauigkeit des Lacks lässt zu wünschen übrig. Der Lack streut über den Fleck. Um dem entgegenzuwirken, ist die Sprühdüse von einer zusätzlichen Düse in Form eines Rings umgeben, der saubere Luft liefert. Beim Betrieb dieser Sprühpistole ist der Kegel sauber Luft ist von einem Farbkegel umgeben, und unkontrollierte Farbstreuung wird beseitigt. 
127_034|Воздух с краской|Luft mit Farbe
127_035|Сжатый воздух|Druckluft
127_036|Кольцевое сопло|Ring Nozzle
127_037|Сопло|Nozzle
127_038|Факел краски|Paint Torch
127_039|Конус воздуха|Air Cone
127_040|Краскораспылитель с дополнительным кольцевым соплом|Spritzpistole mit zusätzlicher Ringdüse
127_042|Еще один способ усиления действия - мультиплицировать инструмент. Это можно сделать, если применить несколько однотипных либо разнотипных инструментов вместо одного. Инструменты могут работать параллельно, а могут быть установлены последовательно. В этом случае мы говорим о многоступенчатом действии, последовательном усилении воздействия на обрабатываемый объект.|Eine andere Möglichkeit, die Aktion zu verbessern, besteht darin, das Werkzeug zu multiplizieren. Dies kann durchgeführt werden, wenn mehrere gleiche oder verschiedene Arten von Werkzeugen anstelle von einem verwendet werden. Die Werkzeuge können parallel arbeiten, können jedoch in Reihe installiert werden. In diesem Fall handelt es sich um eine mehrstufige Aktion, eine sequentielle Erhöhung der Belichtung auf das Objekt, das verarbeitet wird. 
127_043|Различные инструменты для получения дополнительного эффекта можно объединить. Можно также ввести в инструмент дополнительное вещество сильного локального действия.|Sie können verschiedene Werkzeuge kombinieren, um einen zusätzlichen Effekt zu erzielen. Sie können dem Werkzeug auch eine zusätzliche Substanz mit starker lokaler Wirkung hinzufügen.
127_044|Здесь можно поискать подсказки в линиях развития, в частности линии «Моно-би-поли одинаковых объектов» и «Моно-би-поли различных объектов» описывают добавление дополнительных компонентов к уже имеющимся в системе.|Hier können Sie nach Hinweisen in den Entwicklungslinien suchen, insbesondere beschreiben die Zeilen „Mono-Bi-Poly von identischen Objekten“ und „Mono-Bi-Poly von verschiedenen Objekten“ das Hinzufügen zusätzlicher Komponenten zu den im System vorhandenen.
127_045|Пример|Beispiel
127_046|Резание струей воды под высоким давлением – распространенный технологический приём. Чтобы повысить эффективность резания, объединяют две технологии – резание струей воды и пескоструйную обработку. В струю воды добавляют абразивные частицы.|Hochdruckwasserstrahlschneiden ist eine gängige Technik. Um die Schneidleistung zu erhöhen, werden zwei Technologien kombiniert - Wasserstrahlschneiden und Sandstrahlen. Dem Wasserstrahl werden abrasive Partikel zugesetzt.
127_047|Резание струей воды с абразивом|Wasserstrahlschneiden mit Schleifmittel
127_048|Конечно, можно применить инструмент, работающий на новом принципе.|Natürlich können Sie ein Tool verwenden, das nach einem neuen Prinzip arbeitet.
